rank,lupp,qr,os,svd,svds
150,0.00359707171018738,0.00299441914401686,0.00103247733465759,0.000268546518642821,0.000293291593920947
150,0.00432826546262281,0.0037070499024325,0.000717783939003712,0.000268546518642821,0.000293291593920947
150,0.00374064987752714,0.00300963441886626,0.000636727954653987,0.000268546518642821,0.000293291593920947
150,0.00322124233216229,0.00440808419967753,0.000524896679364034,0.000268546518642821,0.000293291593920947
150,0.00453939407552796,0.00448673035071996,0.000730647997375137,0.000268546518642821,0.000293291593920947
350,0.000299356708403849,0.000169573126244,7.15529575802899e-05,1.64536043483261e-05,1.80694761344202e-05
350,0.000330499096482169,0.000208965461028836,4.71336720918057e-05,1.64536043483261e-05,1.80694761344202e-05
350,0.00022955255954945,0.000267792827394601,5.75660460301891e-05,1.64536043483261e-05,1.80694761344202e-05
350,0.000233953751459993,0.000173430079778166,5.38049023246252e-05,1.64536043483261e-05,1.80694761344202e-05
350,0.000229500415986549,0.000305923140451772,7.68067933994964e-05,1.64536043483261e-05,1.80694761344202e-05
550,1.04754045812478e-05,1.13199321351569e-05,6.74898180976019e-06,9.81174038740396e-07,1.08057895539219e-06
550,1.31833012356407e-05,1.16640011742972e-05,4.24577846150167e-06,9.81174038740396e-07,1.08057895539219e-06
550,1.49534278632215e-05,9.65897709711833e-06,6.36379316476906e-06,9.81174038740396e-07,1.08057895539219e-06
550,9.49475004268259e-06,1.55837648193554e-05,4.44385692972223e-06,9.81174038740396e-07,1.08057895539219e-06
550,1.05429330341556e-05,1.01929890940466e-05,5.38675745982569e-06,9.81174038740396e-07,1.08057895539219e-06
750,6.08997413142164e-07,6.46917332232982e-07,4.29790303077728e-07,5.34253853577993e-08,5.88952298734447e-08
750,4.64436041164489e-07,6.12412293590912e-07,3.80632817025156e-07,5.34253853577993e-08,5.88952298734447e-08
750,6.61886942171153e-07,6.3392349454647e-07,5.34982152772308e-07,5.34253853577993e-08,5.88952298734447e-08
750,4.62717327296545e-07,5.67319919241376e-07,4.31398702384795e-07,5.34253853577993e-08,5.88952298734447e-08
750,5.57663375977761e-07,5.39786134955113e-07,3.84405453331906e-07,5.34253853577993e-08,5.88952298734447e-08
950,1.28437854783852e-08,1.39703182045219e-08,1.39066645617568e-08,1.32053696842323e-09,1.51824546861813e-09
950,1.64916008127698e-08,1.3125241504496e-08,1.64329221512705e-08,1.32053696842323e-09,1.51824546861813e-09
950,1.571160647063e-08,1.29903195947451e-08,1.44375269252287e-08,1.32053696842323e-09,1.51824546861813e-09
950,1.38786304079333e-08,1.15012317097956e-08,1.41093030357879e-08,1.32053696842323e-09,1.51824546861813e-09
950,1.59231152041068e-08,1.3362658429692e-08,1.51736562709966e-08,1.32053696842323e-09,1.51824546861813e-09
